day	bases
2006-12-18	211995056
2007-01-09	97761066
2007-01-28	757530432
2007-03-08	983020128
2007-03-14	870588608
2007-04-25	935018048
2007-04-27	1040656880
2007-04-29	641189152
2007-05-08	982724320
2007-07-03	818859520
2007-07-12	4739117930
2007-07-15	178848640
2007-08-10	349662450
2007-08-16	763612896
2007-08-17	972994848
2007-08-18	780970112
2007-08-20	726216832
2007-08-21	724411744
2007-08-22	1791984320
2007-08-24	924174496
2007-08-26	1369222074
2007-08-29	357477635
2007-08-31	2530156124
2007-09-01	992129440
2007-09-02	869768160
2007-09-04	1495338180
2007-09-05	301354092
2007-09-08	823660864
2007-09-09	716433094
2007-09-10	1803524430
2007-09-11	1253296672
2007-09-14	854489312
2007-09-15	681814752
2007-09-18	1988322912
2007-09-19	604400192
2007-09-20	2973874112
2007-09-21	921896864
2007-09-22	687590967
2007-09-24	117678368
2007-09-25	3470835936
2007-09-26	323192352
2007-09-28	1369656402
2007-10-02	1728994688
2007-10-03	2539752160
2007-10-04	1563455616
2007-10-09	4045862624
2007-10-13	2467882976
2007-10-16	1488508926
2007-10-17	1388351296
2007-10-18	418319136
2007-10-19	511705440
2007-10-20	2616020512
2007-10-23	978728544
2007-10-24	1900217600
2007-10-26	2682650048
2007-10-29	692634688
2007-10-30	4077939488
2007-11-01	590841536
2007-11-02	1294291744
2007-11-03	1347475232
2007-11-09	1396052300
2007-11-10	415374048
2007-11-14	6702187040
2007-11-16	1348177536
2007-11-17	1785819040
2007-11-18	1385642240
2007-11-20	0
2007-11-27	1039088032
2007-11-28	2481150528
2007-11-29	1018369472
2007-11-30	949495296
2007-12-01	2592147584
2007-12-04	11833257312
2007-12-05	1190085856
2007-12-10	575141400
2007-12-11	940271328
2007-12-12	874503672
2007-12-13	1152266420
2007-12-15	1430475744
2007-12-19	1965147317
2007-12-20	2953683736
2007-12-22	2320176307
2007-12-25	475726104
2007-12-27	1009212275
2008-01-03	1393140951
2008-01-04	1053870936
2008-01-05	3002643737
2008-01-08	2675052416
2008-01-09	768559800
2008-01-12	2795664025
2008-01-13	657449775
2008-01-15	3454050400
2008-01-16	1853065781
2008-01-23	5436045125
2008-01-25	921588525
2008-01-26	1072071425
2008-01-28	28156941
2008-01-29	2465418011
2008-01-31	1032127904
2008-02-05	5202533394
2008-02-06	1488053568
2008-02-07	1335103679
2008-02-09	2618570560
2008-02-11	1450402870
2008-02-12	1065849984
2008-02-13	3385738496
2008-02-14	1335483104
2008-02-16	4872199328
2008-02-17	2202865472
2008-02-19	5648031388
2008-02-20	1822343584
2008-02-22	1043494336
2008-02-23	2960186481
2008-02-24	3893335040
2008-02-26	6304363373
2008-02-27	2512436360
2008-03-03	760413465
2008-03-04	3518933145
2008-03-05	1997727340
2008-03-06	3948479087
2008-03-07	1639141491
2008-03-08	1074451968
2008-03-09	4755558385
2008-03-11	845295383
2008-03-13	1184022245
2008-03-15	4829181700
2008-03-16	2579542105
2008-03-17	182864710
2008-03-19	4866936410
2008-03-22	840227220
2008-03-23	997957310
2008-03-24	2855325200
2008-03-27	1432625460
2008-03-28	905326870
2008-03-31	1881845
2008-04-01	3214547035
2008-04-02	945710010
2008-04-03	795963980
2008-04-07	3833330585
2008-04-09	1272815810
2008-04-17	4338071712
2008-04-20	955299168
2008-04-23	1153562515
2008-04-29	25279570660
2008-04-30	5450668386
2008-05-03	3912697698
2008-05-04	9120584292
2008-05-06	1343449660
2008-05-07	12711544020
2008-05-10	1988980000
2008-05-11	1947760788
2008-05-13	1761671240
2008-05-14	1981474495
2008-05-15	3251619210
2008-05-19	2350995080
2008-05-20	10543556031
2008-05-21	9017745407
2008-05-22	1437395155
2008-05-24	7186723950
2008-05-26	11662332150
2008-05-28	2709794220
2008-05-30	8727822635
2008-06-03	1238510070
2008-06-04	1102854450
2008-06-05	2436309750
2008-06-06	2128095655
2008-06-09	1630628895
2008-06-10	3662948870
2008-06-11	1870096585
2008-06-12	1542046170
2008-06-13	3127225530
2008-06-14	1023385475
2008-06-17	169002715
2008-06-18	3998169560
