Month	Gigabases
2006-12-15	.211995056
2007-01-15	.855291498
2007-03-15	1.853608736
2007-04-15	2.61686408
2007-05-15	.98272432
2007-07-15	5.73682609
2007-08-15	11.290883531
2007-09-15	22.249257101
2007-10-15	29.101023742
2007-11-15	21.753964044
2007-12-15	29.312095055
2008-01-15	28.608905752
2008-02-15	48.469926697
2008-03-15	39.142273669
2008-04-15	47.239539861
2008-05-15	91.656146031
2008-06-15	72.81745525
2008-07-15	114.346356658
2008-08-15	232.819972288
2008-09-15	262.496522071
2008-10-15	266.81954155
2008-11-15	422.557506345
2008-12-15	213.218114102
2009-01-15	279.479566969
