Month	Gigabases
2006-12-15	.211995056
2007-01-15	.855291498
2007-03-15	1.853608736
2007-04-15	2.61686408
2007-05-15	.98272432
2007-07-15	5.73682609
2007-08-15	11.290883531
2007-09-15	22.249257101
2007-10-15	29.101023742
2007-11-15	21.753964044
2007-12-15	29.312095055
2008-01-15	28.608905752
2008-02-15	49.140991017
2008-03-15	39.215891339
2008-04-15	47.239539861
2008-05-15	91.656146031
2008-06-15	72.81745525
2008-07-15	114.346356658
2008-08-15	232.819972288
2008-09-15	262.496522071
2008-10-15	266.81954155
2008-11-15	422.557506345
2008-12-15	213.218114102
2009-01-15	279.479566969
2009-02-15	277.222695236
2009-03-15	348.439900837
2009-04-15	865.194473715
2009-05-15	950.074774942
2009-06-15	1584.652952536
2009-07-15	2198.259357234
2009-08-15	2190.796178259
2009-09-15	1965.394109675
2009-10-15	1947.24034924
2009-11-15	3441.198418156
2009-12-15	4211.596233035
2010-01-15	3842.045379766
2010-02-15	5415.504668895
2010-03-15	7307.584200422
2010-04-15	7014.297389471
2010-05-15	5938.451162174
2010-06-15	6616.165488014
2010-07-15	7603.157324322
2010-08-15	7931.507202192
2010-09-15	7836.091473578
2010-10-15	8402.022854068
2010-11-15	6520.179814016
2010-12-15	10726.880123441
2011-01-15	15237.503495017
2011-02-15	16884.964548218
2011-03-15	17787.539353676
2011-04-15	18422.924038075
2011-05-15	23832.398582078
2011-06-15	28342.115913183
2011-07-15	25829.64912752
2011-08-15	22287.088650288
2011-09-15	23411.59184618
2011-10-15	26461.870952184
2011-11-15	20260.36517409
2011-12-15	13205.303978772
2012-01-15	16554.368484502
2012-02-15	18978.742595501
2012-03-15	12900.5545505
2012-04-15	20392.676278841
2012-05-15	20135.072230079
2012-06-15	18878.147463384
2012-07-15	11906.42631925
