Month	Gigabases
2006-12-15	.211995056
2007-01-15	.855291498
2007-03-15	1.853608736
2007-04-15	2.61686408
2007-05-15	.98272432
2007-07-15	5.73682609
2007-08-15	11.290883531
2007-09-15	22.249257101
2007-10-15	29.101023742
2007-11-15	21.753964044
2007-12-15	29.312095055
2008-01-15	28.608905752
2008-02-15	48.469926697
2008-03-15	39.142273669
2008-04-15	47.239539861
2008-05-15	91.656146031
2008-06-15	72.81745525
2008-07-15	114.346356658
2008-08-15	232.819972288
2008-09-15	262.496522071
2008-10-15	266.81954155
2008-11-15	422.557506345
2008-12-15	213.218114102
2009-01-15	279.479566969
2009-02-15	277.222695236
2009-03-15	348.439900837
2009-04-15	865.194473715
2009-05-15	950.074774942
2009-06-15	1584.652952536
2009-07-15	2198.259357234
2009-08-15	2190.796178259
2009-09-15	1965.394109675
2009-10-15	1947.24034924
2009-11-15	3441.198418156
2009-12-15	4211.596233035
2010-01-15	3842.045379766
2010-02-15	5415.504668895
2010-03-15	7311.922126022
2010-04-15	7014.297389471
2010-05-15	5938.451162174
2010-06-15	6616.165488014
2010-07-15	7603.157324322
2010-08-15	7931.507202192
2010-09-15	7836.091473578
2010-10-15	8421.798849468
2010-11-15	6650.289735516
2010-12-15	10867.724916941
2011-01-15	15741.082698587
2011-02-15	16283.931000648
2011-03-15	17617.800854276
2011-04-15	18341.422322075
2011-05-15	22878.98810695
2011-06-15	28004.330502028
2011-07-15	26858.739889827
2011-08-15	22432.806328888
2011-09-15	23549.371710556
2011-10-15	26485.293299384
2011-11-15	20356.387854554
2011-12-15	13085.858951108
2012-01-15	16720.305872502
2012-02-15	18850.148911801
2012-03-15	12829.5438861
2012-04-15	20998.003066941
2012-05-15	19437.556117879
2012-06-15	18839.616624784
2012-07-15	22123.014206
2012-08-15	17130.15145437
2012-09-15	12311.251314812
2012-10-15	23303.169078714
2012-11-15	18010.980556431
2012-12-15	33794.6615916
2013-01-15	27366.0989433
2013-02-15	10311.4611345
2013-03-15	14813.87337674
2013-04-15	11185.01234065
2013-05-15	12149.1195564
2013-06-15	14453.3318421
2013-07-15	10903.96476765
2013-08-15	13299.7351265
2013-09-15	18085.5260684
2013-10-15	13463.505776
2013-11-15	21233.942289475
2013-12-15	11565.6766854
2014-01-15	7051.5078849
2014-02-15	15046.873869612
2014-03-15	11444.847997464
2014-04-15	18832.21242869
2014-05-15	19164.42170665
2014-06-15	19307.128417875
2014-07-15	24734.019747354
2014-08-15	22075.333417322
2014-09-15	26951.8852666
2014-10-15	13203.0845259
2014-11-15	9905.63483095
2014-12-15	30643.96146185
2015-01-15	15415.185970386
2015-02-15	47839.585337136
2015-03-15	84852.387607929
2015-04-15	72855.359209276
2015-05-15	103789.409276322
