flow_cell_id	machine_manufacture_model	platform	start_date
11228	IIx	GAII	2007-08-27
7865	IIx	GAII	2007-08-25
3252	Classic	GAII	2007-01-22
10150	IIx	GAII	2007-08-20
5556	Classic	GAII	2007-04-24
11887	Classic	GAII	2007-08-31
11963	IIx	GAII	2007-09-04
3230	Classic	GAII	2007-01-23
9134	Classic	GAII	2007-08-21
9207	IIx	GAII	2007-08-10
1763	Classic	GAII	2006-11-30
6143	IIx	GAII	2007-06-29
9091	IIx	GAII	2007-08-10
6176	IIx	GAII	2007-07-10
8997	Classic	GAII	2007-08-17
9089	Classic	GAII	2007-08-13
9082	IIx	GAII	2007-08-06
8985	IIx	GAII	2007-07-31
8994	IIx	GAII	2007-08-28
9087	IIx	GAII	2007-08-17
8991	IIx	GAII	2007-08-23
10151	Classic	GAII	2007-08-08
8996	Classic	GAII	2007-08-01
7886	Classic	GAII	2007-08-06
11848	Classic	GAII	2007-08-30
11959	IIx	GAII	2007-08-30
3753	Classic	GAII	2007-03-09
9101	IIx	GAII	2007-08-20
11953	IIx	GAII	2007-09-06
9132	IIx	GAII	2007-07-24
10167	IIx	GAII	2007-08-22
3757	Classic	GAII	2007-02-28
9127	IIx	GAII	2007-07-31
11962	IIx	GAII	2007-09-07
9083	IIx	GAII	2007-08-14
3033	Classic	GAII	2007-01-04
8988	IIx	GAII	2007-08-28
6342	IIx	GAII	2007-06-25
1764	Classic	GAII	2006-12-06
11849	IIx	GAII	2007-09-04
9124	IIx	GAII	2007-08-07
4671	Classic	GAII	2007-04-20
3076	Classic	GAII	2007-01-09
6151	Classic	GAII	2007-06-26
11293	Classic	GAII	2007-09-04
11886	IIx	GAII	2007-09-07
11997	Classic	GAII	2007-09-07
10137	IIx	GAII	2007-08-07
9133	IIx	GAII	2007-07-20
9131	Classic	GAII	2007-08-27
9278	IIx	GAII	2007-08-10
9074	IIx	GAII	2007-08-09
8995	IIx	GAII	2007-08-29
9090	IIx	GAII	2007-08-17
9085	IIx	GAII	2007-08-13
3740	Classic	GAII	2007-02-20
11955	IIx	GAII	2007-09-10
11297	Classic	GAII	2007-09-11
11960	IIx	GAII	2007-09-11
11840	IIx	GAII	2007-09-14
11842	Classic	GAII	2007-09-14
11950	IIx	GAII	2007-09-12
11956	Classic	GAII	2007-09-12
12009	IIx	GAII	2007-09-13
11954	IIx	GAII	2007-09-17
11851	IIx	GAII	2007-09-17
11838	Classic	GAII	2007-09-18
11847	Classic	GAII	2007-09-18
12011	Classic	GAII	2007-09-21
11949	IIx	GAII	2007-09-20
11998	IIx	GAII	2007-09-20
12001	Classic	GAII	2007-09-21
11999	IIx	GAII	2007-09-19
12004	IIx	GAII	2007-09-24
6329	Classic	GAII	2007-07-07
12010	IIx	GAII	2007-09-24
12005	Classic	GAII	2007-09-25
11841	Classic	GAII	2007-09-26
13580	IIx	GAII	2007-09-27
13633	IIx	GAII	2007-09-27
11957	Classic	GAII	2007-09-28
12008	IIx	GAII	2007-09-28
12003	Classic	GAII	2007-10-01
13574	IIx	GAII	2007-10-02
13610	Classic	GAII	2007-10-03
13632	IIx	GAII	2007-10-03
13646	IIx	GAII	2007-10-03
13584	IIx	GAII	2007-10-05
11846	Classic	GAII	2007-10-05
13634	Classic	GAII	2007-10-08
11850	IIx	GAII	2007-10-08
13579	IIx	GAII	2007-10-09
11845	IIx	GAII	2007-10-08
13613	Classic	GAII	2007-10-08
13597	IIx	GAII	2007-10-12
13648	Classic	GAII	2007-10-12
13651	IIx	GAII	2007-10-15
13587	IIx	GAII	2007-10-15
13511	IIx	GAII	2007-10-15
13644	Classic	GAII	2007-10-15
13611	IIx	GAII	2007-10-15
13523	Classic	GAII	2007-10-16
13576	IIx	GAII	2007-10-19
13612	Classic	GAII	2007-10-19
13588	IIx	GAII	2007-10-18
13598	IIx	GAII	2007-10-19
13516	Classic	GAII	2007-10-20
13603	IIx	GAII	2007-10-19
12002	IIx	GAII	2007-09-24
13607	Classic	GAII	2007-10-23
13609	IIx	GAII	2007-10-23
13520	IIx	GAII	2007-10-24
13647	IIx	GAII	2007-10-25
13594	Classic	GAII	2007-10-26
13573	IIx	GAII	2007-10-29
13635	Classic	GAII	2007-10-29
13581	IIx	GAII	2007-10-29
14406	Classic	GAII	2007-11-02
13642	Classic	GAII	2007-11-01
13514	IIx	GAII	2007-11-02
13591	IIx	GAII	2007-11-02
14605	Classic	GAII	2007-11-06
13577	IIx	GAII	2007-11-06
13643	IIx	GAII	2007-11-06
13519	IIx	GAII	2007-11-06
14256	IIx	GAII	2007-11-12
14323	Classic	GAII	2007-11-13
14291	IIx	GAII	2007-11-13
14486	Classic	GAII	2007-11-15
14494	IIx	GAII	2007-11-16
14536	IIx	GAII	2007-11-16
14487	Classic	GAII	2007-11-16
14545	IIx	GAII	2007-11-19
14496	Classic	GAII	2007-11-20
13570	IIx	GAII	2007-11-20
14484	Classic	GAII	2007-11-20
14668	IIx	GAII	2007-11-27
145336	Classic	GAII	2007-11-27
14492	Classic	GAII	2007-11-27
14674	Classic	GAII	2007-12-03
14672	IIx	GAII	2007-12-04
14670	Classic	GAII	2007-12-05
1450820	IIx	GAII	2007-12-07
147614	IIx	GAII	2007-12-04
14510	IIx	GAII	2007-12-07
14611	IIx	GAII	2007-12-07
14570	IIx	GAII	2007-12-04
14616	Classic	GAII	2007-12-07
14621	IIx	GAII	2007-12-11
14507	IIx	GAII	2007-12-12
14512	Classic	GAII	2007-12-11
202DLAAXX	IIx	GAII	2007-12-14
202DMAAXX`	IIx	GAII	2007-12-12
14619	IIx	GAII	2007-12-17
14618	Classic	GAII	2007-12-17
200DYAAXX	IIx	GAII	2007-12-17
201VRAAXX	IIx	GAII	2007-12-18
20196AAXX	Classic	GAII	2007-12-20
201WDAAXX	Classic	GAII	2007-12-18
2016YAAXX	Classic	GAII	2007-12-21
201WC	IIx	GAII	2007-12-20
201WBAAXX	IIx	GAII	2007-12-21
202CHAAXX	Classic	GAII	2007-12-27
202DHAAXX	IIx	GAII	2007-12-27
200DPAAXX	IIx	GAII	2007-12-28
202BMAAXX	IIx	GAII	2008-01-03
202CPAAXX	IIx	GAII	2008-01-03
202DGAAXX	Classic	GAII	2008-01-04
202DRAAXX	Classic	GAII	2008-01-04
202CNAAXX	IIx	GAII	2008-01-03
2016NAAXX	IIx	GAII	2008-01-03
200DEAAXX	IIx	GAII	2008-01-08
200FTAAXX	IIx	GAII	2008-01-08
200LEAAXX	IIx	GAII	2008-01-08
200GL	Classic	GAII	2008-01-08
200E1AAXX	IIx	GAII	2008-01-11
202CEAAXX	Classic	GAII	2008-01-11
200DLAAXX	IIx	GAII	2008-01-11
20174AAXX	IIx	GAII	2008-01-11
202CRAAXX	Classic	GAII	2008-01-11
13181AAXX	II	GAII	2008-01-15
13181AAXX	II	GAII	2008-01-17
200GVAAXX	IIx	GAII	2008-01-16
202CM	IIx	GAII	2008-01-16
201DC	IIx	GAII	2008-01-16
202N8AAXX	IIx	GAII	2008-01-16
202NYAAXX	IIx	GAII	2008-01-17
202N2AAXX	Classic	GAII	2008-01-17
20198	Classic	GAII	2008-01-18
202CJ	IIx	GAII	2008-01-23
202BL	IIx	GAII	2008-01-23
202MV	IIx	GAII	2008-01-24
202FG	Classic	GAII	2008-01-25
2038R	IIx	GAII	2008-01-25
20388AAXX	IIx	GAII	2008-01-24
201E8AAXX	II	GAII	2008-01-22
201E8AAXX	II	GAII	2008-01-25
11271	Classic	GAII	2007-09-04
202NM	IIx	GAII	2008-01-28
11298	Classic	GAII	2007-08-15
2040B	IIx	GAII	2008-01-30
2040V	IIx	GAII	2008-01-29
202LJ	IIx	GAII	2008-01-30
202YB	IIx	GAII	2008-01-29
202N1	Classic	GAII	2008-01-29
204TT	IIx	GAII	2008-01-29
202NL	Classic	GAII	2008-01-30
2038U	IIx	GAII	2008-02-04
2040M	IIx	GAII	2008-02-04
202MU	IIx	GAII	2008-02-05
202FK	IIx	GAII	2008-02-05
202FJ	Classic	GAII	2008-02-05
2039Y	IIx	GAII	2008-02-06
203W7	IIx	GAII	2008-02-07
202L8	IIx	GAII	2008-02-08
2038N	IIx	GAII	2008-02-08
202Y0	Classic	GAII	2008-02-08
20381	Classic	GAII	2008-02-11
20392	IIx	GAII	2008-02-11
202L2	IIx	GAII	2008-02-11
2038F	IIx	GAII	2008-02-11
2038W	IIx	GAII	2008-02-11
202FN	IIx	GAII	2008-02-11
20382	IIx	GAII	2008-02-12
2309U	Classic	GAII	2008-02-14
203VB	IIx	GAII	2008-02-14
202VM	IIx	GAII	2008-02-14
20396	IIx	GAII	2008-02-14
20384	IIx	GAII	2008-02-15
9079	Classic	GAII	2007-08-09
202LC	Classic	GAII	2008-02-13
20B1UAAXX	II	GAII	2008-02-15
20B1UAAXX	II	GAII	2008-02-19
208AF	IIx	GAII	2008-02-18
208GJ	IIx	GAII	2008-02-18
2040L	IIx	GAII	2008-02-18
208DY	Classic	GAII	2008-02-18
208NT	IIx	GAII	2008-02-19
208AL	IIx	GAII	2008-02-19
205B8	Classic	GAII	2008-02-19
20383	IIx	GAII	2008-02-22
208MP	IIx	GAII	2008-02-22
208GF	IIx	GAII	2008-02-22
208GK	Classic	GAII	2008-02-22
208E3	IIx	GAII	2008-02-19
208E1	IIx	GAII	2008-02-25
2089P	II	GAII	2008-02-25
208E2	IIx	GAII	2008-02-27
202GM	IIx	GAII	2008-02-25
20493	IIx	GAII	2008-02-26
